# 猫猎co概率配置文件
# 格式: zhi situation p1 p2 probability
# zhi: 0人狼 1狂人 2狂信 3妖狐 4背德
# situation: 0被指定 1接黒 2被询问co 3询问职业 4共有全死co猫 5猫村双死co猫 6平和co猎(废弃)
# p1: 0完全怂狼 1单狼上职 2双狼上职 3三狼上职
# p2: 0孤狼剩余 1双狼剩余 2三狼剩余 3四狼俱在

0 0 0 0 49
0 0 0 1 59
0 0 0 2 61
0 0 0 3 63
0 0 1 0 46
0 0 1 1 56
0 0 1 2 58
0 0 1 3 60
0 0 2 0 43
0 0 2 1 53
0 0 2 2 55
0 0 2 3 57
0 0 3 0 40
0 0 3 1 50
0 0 3 2 52
0 0 3 3 54
0 1 0 0 29
0 1 0 1 39
0 1 0 2 41
0 1 0 3 43
0 1 1 0 26
0 1 1 1 36
0 1 1 2 38
0 1 1 3 40
0 1 2 0 23
0 1 2 1 33
0 1 2 2 35
0 1 2 3 37
0 1 3 0 20
0 1 3 1 30
0 1 3 2 32
0 1 3 3 34
0 2 0 0 22
0 2 0 1 32
0 2 0 2 34
0 2 0 3 36
0 2 1 0 19
0 2 1 1 29
0 2 1 2 31
0 2 1 3 33
0 2 2 0 16
0 2 2 1 26
0 2 2 2 28
0 2 2 3 30
0 2 3 0 13
0 2 3 1 23
0 2 3 2 25
0 2 3 3 27
0 3 0 0 19
0 3 0 1 29
0 3 0 2 31
0 3 0 3 33
0 3 1 0 16
0 3 1 1 26
0 3 1 2 28
0 3 1 3 30
0 3 2 0 13
0 3 2 1 23
0 3 2 2 25
0 3 2 3 27
0 3 3 0 10
0 3 3 1 20
0 3 3 2 22
0 3 3 3 24
0 4 0 0 34
0 4 0 1 44
0 4 0 2 46
0 4 0 3 48
0 4 1 0 31
0 4 1 1 41
0 4 1 2 43
0 4 1 3 45
0 4 2 0 28
0 4 2 1 38
0 4 2 2 40
0 4 2 3 42
0 4 3 0 25
0 4 3 1 35
0 4 3 2 37
0 4 3 3 39
0 5 0 0 36
0 5 0 1 46
0 5 0 2 48
0 5 0 3 50
0 5 1 0 33
0 5 1 1 43
0 5 1 2 45
0 5 1 3 47
0 5 2 0 38
0 5 2 1 48
0 5 2 2 50
0 5 2 3 52
0 5 3 0 35
0 5 3 1 45
0 5 3 2 47
0 5 3 3 49
0 6 0 0 0
0 6 0 1 0
0 6 0 2 0
0 6 0 3 0
0 6 1 0 0
0 6 1 1 0
0 6 1 2 0
0 6 1 3 0
0 6 2 0 0
0 6 2 1 0
0 6 2 2 0
0 6 2 3 0
0 6 3 0 0
0 6 3 1 0
0 6 3 2 0
0 6 3 3 0
1 0 0 0 53
1 0 0 1 55
1 0 0 2 57
1 0 0 3 59
1 0 1 0 50
1 0 1 1 52
1 0 1 2 54
1 0 1 3 56
1 0 2 0 47
1 0 2 1 49
1 0 2 2 51
1 0 2 3 53
1 0 3 0 44
1 0 3 1 46
1 0 3 2 48
1 0 3 3 50
1 1 0 0 33
1 1 0 1 35
1 1 0 2 37
1 1 0 3 39
1 1 1 0 30
1 1 1 1 32
1 1 1 2 34
1 1 1 3 36
