# 概率配置文件
# 格式: zhi situation p1 p2 probability
# zhi: 0人狼 1狂人 2狂信 3妖狐 4背德
# situation: 0被指定 1接黒 2被询问co 3询问职业 4共有全死co猫 5猫村双死co猫 6平和co猎
# p1: 0完全怂狼 1单狼上职 2双狼上职 3三狼上职
# p2: 0孤狼剩余 1双狼剩余 2三狼剩余 3四狼俱在

0 0 0 0 20
0 0 0 1 20
0 0 0 2 20
0 0 0 3 20
0 0 1 0 20
0 0 1 1 20
0 0 1 2 20
0 0 1 3 20
0 0 2 0 20
0 0 2 1 20
0 0 2 2 20
0 0 2 3 20
0 0 3 0 20
0 0 3 1 20
0 0 3 2 20
0 0 3 3 20
0 1 0 0 20
0 1 0 1 20
0 1 0 2 20
0 1 0 3 20
0 1 1 0 20
0 1 1 1 20
0 1 1 2 20
0 1 1 3 20
0 1 2 0 20
0 1 2 1 20
0 1 2 2 20
0 1 2 3 20
0 1 3 0 20
0 1 3 1 20
0 1 3 2 20
0 1 3 3 20
0 2 0 0 20
0 2 0 1 20
0 2 0 2 20
0 2 0 3 20
0 2 1 0 20
0 2 1 1 20
0 2 1 2 20
0 2 1 3 20
0 2 2 0 20
0 2 2 1 20
0 2 2 2 20
0 2 2 3 20
0 2 3 0 20
0 2 3 1 20
0 2 3 2 20
0 2 3 3 20
0 3 0 0 20
0 3 0 1 20
0 3 0 2 20
0 3 0 3 20
0 3 1 0 20
0 3 1 1 20
0 3 1 2 20
0 3 1 3 20
0 3 2 0 20
0 3 2 1 20
0 3 2 2 20
0 3 2 3 20
0 3 3 0 20
0 3 3 1 20
0 3 3 2 20
0 3 3 3 20
0 4 0 0 20
0 4 0 1 20
0 4 0 2 20
0 4 0 3 20
0 4 1 0 20
0 4 1 1 20
0 4 1 2 20
0 4 1 3 20
0 4 2 0 20
0 4 2 1 20
0 4 2 2 20
0 4 2 3 20
0 4 3 0 20
0 4 3 1 20
0 4 3 2 20
0 4 3 3 20
0 5 0 0 20
0 5 0 1 20
0 5 0 2 20
0 5 0 3 20
0 5 1 0 20
0 5 1 1 20
0 5 1 2 20
0 5 1 3 20
0 5 2 0 20
0 5 2 1 20
0 5 2 2 20
0 5 2 3 20
0 5 3 0 20
0 5 3 1 20
0 5 3 2 20
0 5 3 3 20
0 6 0 0 20
0 6 0 1 20
0 6 0 2 20
0 6 0 3 20
0 6 1 0 20
0 6 1 1 20
0 6 1 2 20
0 6 1 3 20
0 6 2 0 20
0 6 2 1 20
0 6 2 2 20
0 6 2 3 20
0 6 3 0 20
0 6 3 1 20
0 6 3 2 20
0 6 3 3 20
1 0 0 0 20
1 0 0 1 20
1 0 0 2 20
1 0 0 3 20
1 0 1 0 20
1 0 1 1 20
1 0 1 2 20
1 0 1 3 20
1 0 2 0 20
1 0 2 1 20
1 0 2 2 20
1 0 2 3 20
1 0 3 0 20
1 0 3 1 20
1 0 3 2 20
1 0 3 3 20
1 1 0 0 20
1 1 0 1 20
1 1 0 2 20
1 1 0 3 20
1 1 1 0 20
1 1 1 1 20
1 1 1 2 20
1 1 1 3 20
1 1 2 0 20
1 1 2 1 20
1 1 2 2 20
1 1 2 3 20
1 1 3 0 20
1 1 3 1 20
1 1 3 2 20
1 1 3 3 20
1 2 0 0 20
1 2 0 1 20
1 2 0 2 20
1 2 0 3 20
1 2 1 0 20
1 2 1 1 20
1 2 1 2 20
1 2 1 3 20
1 2 2 0 20
1 2 2 1 20
1 2 2 2 20
1 2 2 3 20
1 2 3 0 20
1 2 3 1 20
1 2 3 2 20
1 2 3 3 20
1 3 0 0 20
1 3 0 1 20
1 3 0 2 20
1 3 0 3 20
1 3 1 0 20
1 3 1 1 20
1 3 1 2 20
1 3 1 3 20
1 3 2 0 20
1 3 2 1 20
1 3 2 2 20
1 3 2 3 20
1 3 3 0 20
1 3 3 1 20
1 3 3 2 20
1 3 3 3 20
1 4 0 0 20
1 4 0 1 20
1 4 0 2 20
1 4 0 3 20
1 4 1 0 20
1 4 1 1 20
1 4 1 2 20
1 4 1 3 20
1 4 2 0 20
1 4 2 1 20
1 4 2 2 20
1 4 2 3 20
1 4 3 0 20
1 4 3 1 20
1 4 3 2 20
1 4 3 3 20
1 5 0 0 20
1 5 0 1 20
1 5 0 2 20
1 5 0 3 20
1 5 1 0 20
1 5 1 1 20
1 5 1 2 20
1 5 1 3 20
1 5 2 0 20
1 5 2 1 20
1 5 2 2 20
1 5 2 3 20
1 5 3 0 20
1 5 3 1 20
1 5 3 2 20
1 5 3 3 20
1 6 0 0 20
1 6 0 1 20
1 6 0 2 20
1 6 0 3 20
1 6 1 0 20
1 6 1 1 20
1 6 1 2 20
1 6 1 3 20
1 6 2 0 20
1 6 2 1 20
1 6 2 2 20
1 6 2 3 20
1 6 3 0 20
1 6 3 1 20
1 6 3 2 20
1 6 3 3 20
2 0 0 0 20
2 0 0 1 20
2 0 0 2 20
2 0 0 3 20
2 0 1 0 20
2 0 1 1 20
2 0 1 2 20
2 0 1 3 20
2 0 2 0 20
2 0 2 1 20
2 0 2 2 20
2 0 2 3 20
2 0 3 0 20
2 0 3 1 20
2 0 3 2 20
2 0 3 3 20
2 1 0 0 20
2 1 0 1 20
2 1 0 2 20
2 1 0 3 20
2 1 1 0 20
2 1 1 1 20
2 1 1 2 20
2 1 1 3 20
2 1 2 0 20
2 1 2 1 20
2 1 2 2 20
2 1 2 3 20
2 1 3 0 20
2 1 3 1 20
2 1 3 2 20
2 1 3 3 20
2 2 0 0 20
2 2 0 1 20
2 2 0 2 20
2 2 0 3 20
2 2 1 0 20
2 2 1 1 20
2 2 1 2 20
2 2 1 3 20
2 2 2 0 20
2 2 2 1 20
2 2 2 2 20
2 2 2 3 20
2 2 3 0 20
2 2 3 1 20
2 2 3 2 20
2 2 3 3 20
2 3 0 0 20
2 3 0 1 20
2 3 0 2 20
2 3 0 3 20
2 3 1 0 20
2 3 1 1 20
2 3 1 2 20
2 3 1 3 20
2 3 2 0 20
2 3 2 1 20
2 3 2 2 20
2 3 2 3 20
2 3 3 0 20
2 3 3 1 20
2 3 3 2 20
2 3 3 3 20
2 4 0 0 20
2 4 0 1 20
2 4 0 2 20
2 4 0 3 20
2 4 1 0 20
2 4 1 1 20
2 4 1 2 20
2 4 1 3 20
2 4 2 0 20
2 4 2 1 20
2 4 2 2 20
2 4 2 3 20
2 4 3 0 20
2 4 3 1 20
2 4 3 2 20
2 4 3 3 20
2 5 0 0 20
2 5 0 1 20
2 5 0 2 20
2 5 0 3 20
2 5 1 0 20
2 5 1 1 20
2 5 1 2 20
2 5 1 3 20
2 5 2 0 20
2 5 2 1 20
2 5 2 2 20
2 5 2 3 20
2 5 3 0 20
2 5 3 1 20
2 5 3 2 20
2 5 3 3 20
2 6 0 0 20
2 6 0 1 20
2 6 0 2 20
2 6 0 3 20
2 6 1 0 20
2 6 1 1 20
2 6 1 2 20
2 6 1 3 20
2 6 2 0 20
2 6 2 1 20
2 6 2 2 20
2 6 2 3 20
2 6 3 0 20
2 6 3 1 20
2 6 3 2 20
2 6 3 3 20
3 0 0 0 20
3 0 0 1 20
3 0 0 2 20
3 0 0 3 20
3 0 1 0 20
3 0 1 1 20
3 0 1 2 20
3 0 1 3 20
3 0 2 0 20
3 0 2 1 20
3 0 2 2 20
3 0 2 3 20
3 0 3 0 20
3 0 3 1 20
3 0 3 2 20
3 0 3 3 20
3 1 0 0 20
3 1 0 1 20
3 1 0 2 20
3 1 0 3 20
3 1 1 0 20
3 1 1 1 20
3 1 1 2 20
3 1 1 3 20
3 1 2 0 20
3 1 2 1 20
3 1 2 2 20
3 1 2 3 20
3 1 3 0 20
3 1 3 1 20
3 1 3 2 20
3 1 3 3 20
3 2 0 0 20
3 2 0 1 20
3 2 0 2 20
3 2 0 3 20
3 2 1 0 20
3 2 1 1 20
3 2 1 2 20
3 2 1 3 20
3 2 2 0 20
3 2 2 1 20
3 2 2 2 20
3 2 2 3 20
3 2 3 0 20
3 2 3 1 20
3 2 3 2 20
3 2 3 3 20
3 3 0 0 20
3 3 0 1 20
3 3 0 2 20
3 3 0 3 20
3 3 1 0 20
3 3 1 1 20
3 3 1 2 20
3 3 1 3 20
3 3 2 0 20
3 3 2 1 20
3 3 2 2 20
3 3 2 3 20
3 3 3 0 20
3 3 3 1 20
3 3 3 2 20
3 3 3 3 20
3 4 0 0 20
3 4 0 1 20
3 4 0 2 20
3 4 0 3 20
3 4 1 0 20
3 4 1 1 20
3 4 1 2 20
3 4 1 3 20
3 4 2 0 20
3 4 2 1 20
3 4 2 2 20
3 4 2 3 20
3 4 3 0 20
3 4 3 1 20
3 4 3 2 20
3 4 3 3 20
3 5 0 0 20
3 5 0 1 20
3 5 0 2 20
3 5 0 3 20
3 5 1 0 20
3 5 1 1 20
3 5 1 2 20
3 5 1 3 20
3 5 2 0 20
3 5 2 1 20
3 5 2 2 20
3 5 2 3 20
3 5 3 0 20
3 5 3 1 20
3 5 3 2 20
3 5 3 3 20
3 6 0 0 20
3 6 0 1 20
3 6 0 2 20
3 6 0 3 20
3 6 1 0 20
3 6 1 1 20
3 6 1 2 20
3 6 1 3 20
3 6 2 0 20
3 6 2 1 20
3 6 2 2 20
3 6 2 3 20
3 6 3 0 20
3 6 3 1 20
3 6 3 2 20
3 6 3 3 20
4 0 0 0 20
4 0 0 1 20
4 0 0 2 20
4 0 0 3 20
4 0 1 0 20
4 0 1 1 20
4 0 1 2 20
4 0 1 3 20
4 0 2 0 20
4 0 2 1 20
4 0 2 2 20
4 0 2 3 20
4 0 3 0 20
4 0 3 1 20
4 0 3 2 20
4 0 3 3 20
4 1 0 0 20
4 1 0 1 20
4 1 0 2 20
4 1 0 3 20
4 1 1 0 20
4 1 1 1 20
4 1 1 2 20
4 1 1 3 20
4 1 2 0 20
4 1 2 1 20
4 1 2 2 20
4 1 2 3 20
4 1 3 0 20
4 1 3 1 20
4 1 3 2 20
4 1 3 3 20
4 2 0 0 20
4 2 0 1 20
4 2 0 2 20
4 2 0 3 20
4 2 1 0 20
4 2 1 1 20
4 2 1 2 20
4 2 1 3 20
4 2 2 0 20
4 2 2 1 20
4 2 2 2 20
4 2 2 3 20
4 2 3 0 20
4 2 3 1 20
4 2 3 2 20
4 2 3 3 20
4 3 0 0 20
4 3 0 1 20
4 3 0 2 20
4 3 0 3 20
4 3 1 0 20
4 3 1 1 20
4 3 1 2 20
4 3 1 3 20
4 3 2 0 20
4 3 2 1 20
4 3 2 2 20
4 3 2 3 20
4 3 3 0 20
4 3 3 1 20
4 3 3 2 20
4 3 3 3 20
4 4 0 0 20
4 4 0 1 20
4 4 0 2 20
4 4 0 3 20
4 4 1 0 20
4 4 1 1 20
4 4 1 2 20
4 4 1 3 20
4 4 2 0 20
4 4 2 1 20
4 4 2 2 20
4 4 2 3 20
4 4 3 0 20
4 4 3 1 20
4 4 3 2 20
4 4 3 3 20
4 5 0 0 20
4 5 0 1 20
4 5 0 2 20
4 5 0 3 20
4 5 1 0 20
4 5 1 1 20
4 5 1 2 20
4 5 1 3 20
4 5 2 0 20
4 5 2 1 20
4 5 2 2 20
4 5 2 3 20
4 5 3 0 20
4 5 3 1 20
4 5 3 2 20
4 5 3 3 20
4 6 0 0 20
4 6 0 1 20
4 6 0 2 20
4 6 0 3 20
4 6 1 0 20
4 6 1 1 20
4 6 1 2 20
4 6 1 3 20
4 6 2 0 20
4 6 2 1 20
4 6 2 2 20
4 6 2 3 20
4 6 3 0 20
4 6 3 1 20
4 6 3 2 20
4 6 3 3 20
